Wind AT 2013,Wind AT 2015,Wind AT 2016,Wind 2030 TU EEG Stromzukunft,WEB 2015 Umgebung Wien,Hochrechnung berschuss 2050,Wind AT 2017,Wind AT 2018,Wind AT 2019,Wind AT 2020
4.3763,333.4648,1385.9578,3.938189867,0.463521,0,1893.515,307.722,1993,200
4.3955,331.813,1539.4093,3.951324468,0.240456,0,1743.431,264.005,2073,176
6.124,343.3043,1366.8473,4.275311182,0.017268,0,1767.517,237.368,2104,154
12.104,281.4765,1418.0663,4.511733914,0.003864,0,1556.678,223.197,2136,129
25.78,244.577,1341.331,5.586581737,0.003519,0,1147.652,208.576,2004,79
34.6388,236.8275,1165.1338,6.389981225,0.011802,0,791.171,165.026,1674,45
41.5855,203.724,1126.6968,6.648517549,0,0,829.877,160.497,1310,33
56.6778,148.5033,1418.2225,6.604574072,0,0,1005.654,129.619,1928,29
65.217,112.4518,1177.0758,6.604106815,0,0,1385.944,102.23,2182,34
96.1153,189.522,1170.3485,6.61632444,0,1,1314.457,99.647,2164,67
149.7388,217.833,1493.6855,6.676753253,0.054819,1.1,1363.43,135.825,1898,139
149.1433,361.4795,2102.805,6.674564153,0.404199,0.6,1351.748,196.77,1554,291
160.0225,546.7818,2178.0488,6.519138092,0.732753,0,1513.407,223.579,1357,545
179.6175,586.3065,2139.1785,6.026590717,0.444132,0,1826.586,277.802,1309,678
205.1075,595.972,2149.118,4.027942948,0.23634,0,2096.768,308.554,1347,726
234.4618,607.8988,2141.1308,3.66017424,0.152277,0,2165.973,343.374,1344,642
246.673,437.0265,2102.1613,2.53935533,0.060894,0,2308.185,304.596,1488,564
251.867,338.8063,1938.957,1.622122677,0.039165,0,2341.652,286.158,1527,474
256.2083,295.9525,1925.3608,1.368187143,0.144474,0,2202.827,337,1696,425
